task_index_sample,task_name,D_sample,D_full,D_changed,episodes,n_episodes,phi0_mean_sample,phi0_mean_full,phi0_delta,episodes_phi0_gt0,phi0_frac_gt0,valid_rate_sample,valid_rate_full,valid_delta,integrality_ok,reward_instrumentation,drop_reasons,note
32,wash_a_baseball_cap,1.0,1.0,False,48,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
33,wash_dog_toys,3.0,6.0,True,54,200,0.333333,0.333333,0.0,199.0,1.0,1.0,0.995,-0.0050000000000000044,True,ok,"{""not_terminated"": 1}",
34,hanging_pictures,1.0,1.0,False,94,200,0.0,0.0,0.0,0.0,0.0,1.0,0.99,-0.010000000000000009,True,ok,"{""no_headroom"": 2}",
35,attach_a_camera_to_a_tripod,1.0,1.0,False,57,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
36,clean_a_patio,1.0,1.0,False,53,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
37,clean_a_trumpet,1.0,1.0,False,40,200,0.0,0.0,0.0,0.0,0.0,0.975,0.99,0.015000000000000013,True,ok,"{""not_terminated"": 2}",
38,spraying_for_bugs,2.0,2.0,False,64,200,0.0,0.005,0.005,2.0,0.01,0.9844,1.0,0.015599999999999947,True,ok,{},
39,spraying_fruit_trees,2.0,2.0,False,200,200,0.0,0.0075,0.0075,3.0,0.015,0.985,1.0,0.015000000000000013,True,ok,{},
40,make_microwave_popcorn,1.0,1.0,False,68,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
41,cook_cabbage,2.0,2.0,False,46,200,0.0,0.0,0.0,0.0,0.0,1.0,0.99,-0.010000000000000009,True,ok,"{""not_terminated"": 2}",
42,chop_an_onion,4.0,4.0,False,70,200,0.056818,0.065,0.008182000000000002,48.0,0.24,0.9429,1.0,0.05710000000000004,True,ok,{},
43,slicing_vegetables,9.0,9.0,False,44,200,0.036036,0.083761,0.047725000000000004,74.0,0.3795,0.8409,0.975,0.1341,True,ok,"{""phi0_out_of_range"": 1, ""progress_out_of_range"": 4}",
44,chopping_wood,4.0,4.0,False,55,200,0.020408,0.07197,0.05156200000000001,40.0,0.202,0.8909,0.99,0.09909999999999997,True,ok,"{""progress_out_of_range"": 2}",
45,cook_hot_dogs,1.0,1.0,False,55,200,0.0,0.0,0.0,0.0,0.0,1.0,0.99,-0.010000000000000009,True,ok,"{""not_terminated"": 2}",
46,cook_bacon,7.0,7.0,False,52,200,0.0,-0.0,-0.0,0.0,0.0,0.9615,0.985,0.023499999999999965,True,ok,"{""phi0_out_of_range"": 3}",
47,freeze_pies,7.0,7.0,False,47,200,0.231003,0.220388,-0.010614999999999986,184.0,0.9246,1.0,0.995,-0.0050000000000000044,True,ok,"{""phi0_out_of_range"": 1}",
48,canning_food,10.0,10.0,False,43,200,0.638462,0.64949,0.011028000000000038,196.0,1.0,0.907,0.98,0.07299999999999995,True,SUSPECT_incomplete,"{""progress_out_of_range"": 4}",
49,make_pizza,2.0,2.0,False,134,200,0.0,0.0,0.0,0.0,0.0,1.0,0.995,-0.0050000000000000044,True,ok,"{""phi0_out_of_range"": 1}",
50,freeze_fruit,4.0,4.0,False,56,200,0.243902,0.320652,0.07674999999999998,161.0,0.875,0.7321,0.92,0.18790000000000007,True,ok,"{""phi0_out_of_range"": 9, ""progress_out_of_range"": 7}",
