task_index,task_name,D,n_magnitudes,magnitudes_multiple_of_unit,n_episodes,n_valid,valid_rate,phi0_mean,phi0_max,episodes_phi0_gt0,phi0_frac_gt0,phi0_init_mean,initially_true_literals,initially_true_unknown,census_alignment,never_credited_mean,never_credited_frac_gt0,lost_at_end_mean,max_dip_units,episodes_ended_short,demo_completion_rate,frac_intermediate,max_step_frac,n_credit_events,n_levels,t_first_credit,mean_progress,episodes_nonmonotonic,rollback_rewards_zeroed,drop_reasons,note
18,tidying_bedroom,3.0,1.0,True,200,200.0,1.0,0.355,0.666667,198.0,0.99,0.0,0.0,3.0,aligned,1.065,0.99,0.0,1.0,198.0,0.01,0.0962,0.3333,3.12,2.935,0.3217,0.3751,121.0,21.0,{},
19,outfit_a_basic_toolbox,7.0,2.0,True,200,200.0,1.0,0.142857,0.428571,164.0,0.8241,0.266429,2.0,5.0,aligned,0.265,0.21,0.0,2.0,42.0,0.79,0.8107,0.1436,7.295,7.0,0.4703,0.4057,200.0,6.0,{},
20,sorting_vegetables,13.0,1.0,True,200,200.0,1.0,0.684615,0.846154,200.0,1.0,0.0,0.0,13.0,aligned,8.9,1.0,0.0,1.0,200.0,0.0,0.2535,0.0769,4.29,5.1,0.4533,0.1331,30.0,9.0,{},
21,collecting_childrens_toys,6.0,2.0,True,200,192.0,0.96,0.067019,0.5,61.0,0.3228,0.0,0.0,7.0,ambiguous,0.411458,0.3281,0.015625,1.0,64.0,0.6667,0.6762,0.1667,6.693,6.589,0.1278,0.584,126.0,38.0,"{""over_credited"": 8}",
22,putting_shoes_on_rack,10.0,2.0,True,200,195.0,0.975,0.115789,0.5,125.0,0.6579,0.0,0.0,10.0,aligned,1.184615,0.6667,0.035897,2.0,130.0,0.3333,0.803,0.1021,11.503,9.81,0.1514,0.3494,167.0,6.0,"{""not_terminated"": 1, ""over_credited"": 4}",
23,boxing_books_up_for_storage,6.0,1.0,True,200,198.0,0.99,0.196335,0.666667,133.0,0.6963,0.0,0.0,6.0,aligned,1.207071,0.7071,0.035354,1.0,140.0,0.2929,0.5323,0.1667,6.263,5.793,0.4052,0.2624,154.0,64.0,"{""over_credited"": 2}",
24,storing_food,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,no reward signal
25,clearing_food_from_table_into_fridge,5.0,2.0,True,200,200.0,1.0,0.352284,0.6,188.0,0.9543,0.192,1.0,4.0,aligned,0.945,0.72,0.015,1.0,144.0,0.28,0.3745,0.2,4.655,4.22,0.5816,0.272,200.0,4.0,{},
26,assembling_gift_baskets,16.0,2.0,True,200,199.0,0.995,0.757576,0.9375,198.0,1.0,0.0,0.0,16.0,aligned,12.130653,1.0,0.005025,2.0,199.0,0.0,0.4298,0.0625,4.372,4.869,0.4191,0.0883,60.0,26.0,"{""not_terminated"": 1}",
27,sorting_household_items,8.0,2.0,True,200,200.0,1.0,0.133166,0.375,195.0,0.9799,0.123125,1.0,7.0,aligned,0.675,0.605,0.005,2.0,121.0,0.395,0.7789,0.1263,10.785,7.925,0.3142,0.3926,199.0,12.0,{},
28,getting_organized_for_work,10.0,3.0,True,200,200.0,1.0,0.403518,0.7,198.0,0.995,0.2985,3.0,7.0,aligned,3.065,0.985,0.005,2.0,197.0,0.015,0.834,0.157,24.495,6.88,0.4516,0.3788,200.0,26.0,{},
29,clean_up_your_desk,11.0,3.0,True,200,186.0,0.93,0.162338,0.454545,169.0,0.9286,0.086022,1.0,9.0,aligned,1.032258,0.6022,0.021505,3.0,112.0,0.3978,0.8392,0.0973,13.156,10.14,0.1729,0.3826,186.0,4.0,"{""over_credited"": 14}",
30,setting_the_fire,8.0,3.0,True,200,198.0,0.99,0.14899,0.5,183.0,0.9242,0.11553,1.0,4.0,aligned,0.363636,0.2626,0.0,3.0,52.0,0.7374,0.5578,0.137,9.414,7.707,0.4219,0.2725,198.0,3.0,"{""over_credited"": 2}",
31,clean_boxing_gloves,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9548,0.0453,0.0,35.0,{},
32,wash_a_baseball_cap,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9268,0.0733,0.0,30.0,{},
33,wash_dog_toys,6.0,4.0,True,200,199.0,0.995,0.333333,0.333333,199.0,1.0,0.333333,2.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.3333,2.0,3.0,0.9476,0.3683,0.0,27.0,"{""not_terminated"": 1}",
34,hanging_pictures,1.0,1.0,True,200,198.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9413,0.0591,0.0,177.0,"{""no_headroom"": 2}",
35,attach_a_camera_to_a_tripod,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.8823,0.1179,0.0,36.0,{},
36,clean_a_patio,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9438,0.0563,0.0,3.0,{},
37,clean_a_trumpet,1.0,1.0,True,200,198.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.8579,0.1423,0.0,34.0,"{""not_terminated"": 2}",
38,spraying_for_bugs,2.0,1.0,True,200,200.0,1.0,0.005,0.5,2.0,0.01,0.0,0.0,0.0,aligned,0.01,0.01,0.0,1.0,2.0,0.99,0.3963,0.5,2.0,2.99,0.3604,0.4377,2.0,4.0,{},
39,spraying_fruit_trees,2.0,2.0,True,200,200.0,1.0,0.0075,0.5,3.0,0.015,0.0,0.0,0.0,aligned,0.015,0.015,0.0,1.0,3.0,0.985,0.4375,0.5,2.0,2.985,0.3323,0.4441,3.0,8.0,{},
40,make_microwave_popcorn,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9873,0.013,0.0,25.0,{},
41,cook_cabbage,2.0,2.0,True,200,198.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.5,2.0,3.0,0.9906,0.0094,0.0,13.0,"{""not_terminated"": 2}",
42,chop_an_onion,4.0,1.0,True,200,200.0,1.0,0.065,0.5,48.0,0.24,0.0,0.0,2.0,aligned,0.26,0.24,0.0,1.0,48.0,0.76,0.2074,0.25,5.41,4.74,0.7304,0.1595,146.0,48.0,{},
43,slicing_vegetables,9.0,5.0,True,200,199.0,0.995,0.083761,0.555556,74.0,0.3795,0.101619,1.0,0.0,aligned,0.743719,0.3668,0.030151,3.0,73.0,0.6332,0.3223,0.1117,9.181,9.191,0.7105,0.1196,199.0,36.0,"{""over_credited"": 1}",
44,chopping_wood,4.0,1.0,True,200,200.0,1.0,0.07197,0.75,40.0,0.202,0.0,0.0,0.0,ambiguous,0.305,0.21,0.01,1.0,42.0,0.79,0.5749,0.25,4.0,4.695,0.3197,0.3618,42.0,26.0,{},
